Status,Class,Type,Original Price,Price,Address,Address Lot/Unit,District,List Date,Price Date,Days On Market,City,State,Zip,Picture Count,MLS Number,Contract Date,Closing Date,Hotsheet Date
SOLD,Residential,Single Family,770400,770400,3305 Laulima Ln,Unit C,Pukalani,4/1/2023,6/10/2023,67,Pukalani,HI,96768,9,399090,4/1/2023,6/7/2023,6/10/2023
ACTIVE,Business,Business,280000,280000,65 W Kaahumanu Space #23 & 24 Ave,,Kahului,6/13/2023,6/13/2023,364,Kahului,HI,96732,2,399103,,,6/13/2023
CANCELED,Vacant Land,Vacant Land,399000,399000,2720 KEIKILANI St,,Pukalani,6/1/2023,6/1/2023,4,Makawao,HI,96768,1,399030,,,6/13/2023
SOLD,Condominium,Condo,825000,775000,4327 Lower Honoapiilani Rd,405B,Napili/Kahana/Honokowai,1/26/2023,6/13/2023,138,Lahaina,HI,96761,33,397979,5/18/2023,6/13/2023,6/13/2023
SOLD,Condominium,Condo,820000,771000,44 Kanani Rd,3-102,Kihei,2/13/2023,6/13/2023,120,Kihei,HI,96753,30,398129,4/25/2023,6/13/2023,6/13/2023
SOLD,Condominium,Condo,599000,520000,480 Kenolio Rd,19-101,Kihei,4/1/2023,6/13/2023,73,Kihei,HI,96753,22,398518,5/5/2023,6/13/2023,6/13/2023
SOLD,Vacant Land,Vacant Land,850000,850000,719 Nahiku Rd,,Hana,4/4/2023,4/5/2023,70,Hana,HI,96713-9999,19,398548,4/4/2023,6/13/2023,6/13/2023
SOLD,Condominium,Condo,649000,646500,3875 Lower Honoapiilani Rd,A202,Napili/Kahana/Honokowai,4/18/2023,6/13/2023,52,Lahaina,HI,96761,34,398649,4/27/2023,6/9/2023,6/13/2023
SOLD,Condominium,Condo,649000,646500,3875 Lower Honoapiilani Rd,A202,Napili/Kahana/Honokowai,4/18/2023,6/13/2023,52,Lahaina,HI,96761,34,398649,4/27/2023,6/9/2023,6/13/2023
SOLD,Condominium,Condo,1950000,1900000,3950 Kalai Waa St,B103,Wailea/Makena,4/27/2023,6/13/2023,47,Kihei,HI,96753,36,398725,5/14/2023,6/13/2023,6/13/2023
SOLD,Condominium,Condo,285000,265000,480 Pio Dr,105,Wailuku,5/2/2023,6/13/2023,42,Wailuku,HI,96793,17,398767,5/22/2023,6/13/2023,6/13/2023
ACTIVE,Vacant Land,Vacant Land,82500,82500,Puunana St,D70,Molokai,6/14/2023,6/14/2023,363,Maunaloa,HI,96770,10,399110,,,6/14/2023
CANCELED,Rental-Long Term,House,2600,2600,361 Ehilani St,,Pukalani,6/11/2023,6/11/2023,3,Pukalani,HI,96768,11,399093,,,6/14/2023
PENDING - CONT. TO SHOW,Residential,SF w/Det Ohana or Cottage,1725000,1725000,0 Haliimaile Rd,Lot 28,Makawao/Olinda/Haliimaile,5/19/2023,5/19/2023,389,Makawao,HI,96768,12,398923,6/14/2023,,6/14/2023
SOLD,Commercial,Commercial-For Sale,1700000,1690000,7 E kaahumanu St,,Kahului,3/25/2023,6/14/2023,81,Kahului,HI,96732,1,398451,4/30/2023,6/14/2023,6/14/2023
SOLD,Commercial,Commercial-For Sale,1700000,1690000,7 E kaahumanu St,,Kahului,3/25/2023,6/14/2023,81,Kahului,HI,96732,1,398451,4/30/2023,6/14/2023,6/14/2023
SOLD,Condominium,Condo,268000,278000,111 Kahului Beach Rd,B312,Kahului,3/30/2023,6/14/2023,76,Kahului,HI,96732,23,398496,4/4/2023,6/14/2023,6/14/2023
